epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.353,0.67472,1.85626,0.87546,0.97769,0.96176,0.99261,0.85589,0.56816,1.47314,0.83771,0.000660131,0.000660131,0.000660131
2,668.149,0.67274,1.00228,0.88797,0.96113,0.96493,0.99015,0.84597,0.61105,0.79705,0.84633,0.00119544,0.00119544,0.00119544
3,995.632,0.68103,0.72578,0.89063,0.98286,0.97926,0.9936,0.82705,0.65657,0.61874,0.85381,0.00159876,0.00159876,0.00159876
4,1324.53,0.63444,0.56929,0.87587,0.9806,0.98636,0.99291,0.85763,0.56538,0.54663,0.84741,0.001406,0.001406,0.001406
5,1652.93,0.59868,0.46986,0.86357,0.98636,0.99268,0.9944,0.86228,0.57123,0.4288,0.83527,0.001208,0.001208,0.001208
6,1979.81,0.57772,0.42615,0.85808,0.98316,0.99666,0.99416,0.89341,0.46648,0.37151,0.8169,0.00101,0.00101,0.00101
7,2308.02,0.55512,0.39147,0.8557,0.99432,0.99024,0.99495,0.8973,0.47099,0.346,0.82044,0.000812,0.000812,0.000812
8,2635.92,0.52758,0.36032,0.84485,0.98792,0.99718,0.99473,0.89414,0.47128,0.31757,0.81337,0.000614,0.000614,0.000614
9,2963.72,0.50489,0.32938,0.83581,0.9969,0.99512,0.995,0.89569,0.45901,0.30803,0.8124,0.000416,0.000416,0.000416
10,3292.22,0.48541,0.30409,0.82496,0.99755,0.9913,0.99498,0.9149,0.40688,0.27263,0.80365,0.000218,0.000218,0.000218
