epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2594,1.28026,4.45188,1.03395,0.0401,0.76338,0.12809,0.07507,1.2274,3.49091,0.94336,8.25e-05,8.25e-05,8.25e-05
2,171.632,1.11541,2.50532,0.93466,0.36832,0.51495,0.44453,0.28726,1.18719,1.94887,0.98424,0.000149416,0.000149416,0.000149416
3,255.338,1.10138,1.52467,0.95677,0.70701,0.70872,0.75713,0.49656,1.18949,1.36134,0.99505,0.000199832,0.000199832,0.000199832
4,338.366,1.06798,1.18508,0.95149,0.82599,0.81802,0.88001,0.58002,1.20949,1.0299,1.00369,0.00017575,0.00017575,0.00017575
5,421.762,1.05004,1.00249,0.94576,0.87531,0.86213,0.92409,0.63071,1.14407,0.88546,0.99028,0.000151,0.000151,0.000151
6,504.821,1.02128,0.93507,0.93773,0.9049,0.879,0.93731,0.64575,1.12072,0.81651,0.98011,0.00012625,0.00012625,0.00012625
7,587.051,1.01225,0.8393,0.93162,0.90591,0.90487,0.94187,0.64202,1.15031,0.77341,0.99479,0.0001015,0.0001015,0.0001015
8,670.143,0.99467,0.82514,0.93946,0.91151,0.9132,0.94363,0.65202,1.11698,0.73252,0.98071,7.675e-05,7.675e-05,7.675e-05
9,753.14,0.98794,0.77444,0.93158,0.92423,0.92105,0.94755,0.65415,1.12515,0.72446,0.98109,5.2e-05,5.2e-05,5.2e-05
10,836.124,0.97474,0.76009,0.92673,0.92953,0.92175,0.94785,0.65536,1.12139,0.69647,0.98333,2.725e-05,2.725e-05,2.725e-05
